#node1,node2,node1_string_internal_id,node2_string_internal_id,node1_external_id,node2_external_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,prediction,combined_score
EIF3C,RPTOR,1851492,1848942,9606.ENSP00000332604,9606.ENSP00000307272,0,0,0,0,0,0.571,0,0.081,0,0.588
AKT1,VHL,1846136,1844441,9606.ENSP00000270202,9606.ENSP00000256474,0,0,0,0,0,0,0,0.587,0,0.587
ARHGDIA,PSMD10,1846084,1842679,9606.ENSP00000269321,9606.ENSP00000217958,0,0,0,0,0,0.576,0,0.067,0,0.587
FAU,USP14,1861888,1844948,9606.ENSP00000431822,9606.ENSP00000261601,0,0,0,0,0,0.362,0,0.38,0,0.587
AURKB,IQGAP1,1863844,1846003,9606.ENSP00000463999,9606.ENSP00000268182,0,0,0,0,0,0,0,0.585,0,0.586
RPS27A,STAT3,1846244,1845584,9606.ENSP00000272317,9606.ENSP00000264657,0,0,0,0,0,0.568,0,0.081,0,0.586
RPS6,TP53,1857216,1846083,9606.ENSP00000369757,9606.ENSP00000269305,0,0,0,0,0,0.15,0,0.534,0,0.586
PCNA,CDH1,1856984,1844988,9606.ENSP00000368438,9606.ENSP00000261769,0,0,0,0,0,0,0,0.586,0,0.586
PSMC6,FOS,1860306,1848822,9606.ENSP00000401802,9606.ENSP00000306245,0,0,0,0,0,0,0,0.586,0,0.586
RPS26,CDH2,1853363,1846066,9606.ENSP00000348849,9606.ENSP00000269141,0,0,0,0,0,0.585,0,0,0,0.585
PSMC6,EGFR,1860306,1846445,9606.ENSP00000401802,9606.ENSP00000275493,0,0,0,0,0,0,0,0.585,0,0.585
EIF4EBP1,TP53,1852358,1846083,9606.ENSP00000340691,9606.ENSP00000269305,0,0,0,0,0,0,0,0.585,0,0.585
JUN,CUL1,1855436,1850867,9606.ENSP00000360266,9606.ENSP00000326804,0,0,0,0,0,0.231,0,0.481,0,0.584
JUN,SKP1,1855436,1843292,9606.ENSP00000360266,9606.ENSP00000231487,0,0,0,0,0,0.26,0,0.461,0,0.584
EIF3F,PSMD8,1849251,1842478,9606.ENSP00000310040,9606.ENSP00000215071,0,0,0,0,0.165,0.429,0,0.198,0,0.584
